الدكتور المشرف,العام الدراسي,اسم المشروع,وصف المشروع
محمود رحال,2023_2024,الكشف عن مرض الرئة باستخدام صورة X_ray,يهدف مشروع الى تحسين قدرات تشخيص ومتابعة لأمراض الرئة من خلال تقنيات التصوير الاشعاعي المتطورة
محمود رحال,2023_2024,أتمتة مدرسة خاصة,المشروع عبارة عن موقع ويب وتطبيق موبايل لاتمتة مدرسة يهدف الى تحسين كفاءة العمل وتحسين تجربة التعليم للطلاب والموظفين على حد سواء يتضمن استخدام تكنلوجيا والبرمجيات لتبسيط العملية الادارية وتحسين تواصل بين جميع اطراف المدرسة فهو يهدف الى التفاعل بين طلاب واولياء الامور وادارة مدرسة لتسهيل العملية تربوية 
محمود رحال,2023_2024,تطوير نظام مشفى الكتروني باستخدام مفهوم زمن حقيقي,فكرة مشروع تتلخص في تطوير وتنفيذ نظام طبي الكتروني متقدم يستخدم مفهوم زمن حقيقي لتحسين وتنظيم ادارة المراكز طبية يهدف نظام الى تسهيل عملية حجز مواعيد من خلال تطبيق ويب سهل استخدام ويوفر ايضا الية فعالة للبحث عن المرضى وادارة المعلومات المتعلقة بهم
محمود رحال,2023_2024,التعرف على المشاعر الوجهية,يهدف الى تعرف على مشاعر وجهية باستخدام الشبكات العصبية الى تحقيق عدة اهداف منها تحسين التفاعل بين الانسان وحاسوب وتعزيز رعاية الصحية النفسية وتطبيقات الامنية ومراقبة الامان وتحسين التعليم الالكتروني و تسويق وتحليل سلوك مستهلك وتطوير تكنلوجيا الواقع الافتراضي والواقع معزز
عثمان اسماعيل,2023_2024,تطبيق مراقبة سائق سيارة,يهدف المشروع الى حماية السائقين قدر الامكان ومساعدتهم لتلافي الاخطار وذلك عن طريق مراقبة السائق اثناء قيادته وفي حال بدت عليه اي من علامات النعاس سيقوم تطبيق باطلاق انذار ليصحيه ويوقظه من غفلته وايضا بإمكان السائق طلب طوارئ وتحديد مكانه بسهولة ويمتمتع التطبيق بواجهات سهلة وبسيطة ومريحة بالعمل والانتقال خلالها مع امكانية تحكم بإعدادات تطبيق بالشكل الذي يرغبه مستخدم
جميلة ابراهيم _ سوسن اسجيع,2023_2024,  العين الخضراء,يهدف الى توفير بيئة مثالية للنباتات ومراقبتها وذلك باستخدام تكنولوجيا المراقبة الذكية ويوفر امكانية تحديد نوع نباتات بواسطة ذكاء صنعي
محمود رحال,2023_2024,تطوير نظام مشفى الكتروني باستخدام مفهوم زمن حقيقي,فكرة مشروع تتلخص في تطوير وتنفيذ نظام طبي الكتروني متقدم يستخدم مفهوم الزمن الحقيقي لتحسين وتنظيم ادارة المراكز طبية يهدف نظام الى تسهيل عملية حجز المواعيد للمرضى من خلال تطبيق ويب سهل الاستخدام يمكن الوصول اليه عبر الانترنيت هذا تطبيق لايقتصر على تسهيل حجز مواعيد بل يوفر آلية فعالة للبحث عن مرضى وادارة المعلومات المتعلقة بهم بدقة وسهولة
عثمان اسماعيل,2023_2024,تطبيق للكشف عن العملات المزورة بإستخدام الشبكات العصبونية,يهدف المشروع الى استخدام تقنيات الذكاء الاصطناعي للكشف عن العملات المزورة حيث يقوم المستخدم باستخدام الكاميرا لتصوير العملة ويتم اظهار رسالة فيها نتيجة
إياد هلالي,2023_2024,الكشف عن امراض بعض نياتات باستخدام التعلم العميق,استخدام تكنلوجيا وتكريسها في خدمة البشرية وذلك من خلال تبليغ المزارعين عن المرض الذي يصيب النباتات وتحديد طرق الوقاية والعلاج للتخلص من هذا المرض ويكون الاستفادة من تعلم العميق في كشف امراض نباتات وتقديم طرق العلاج وتقديم طرق الوقاية
ديمة مفتي الشوافعة,2023_2024,توليد وصفةوتسمية توضيحية للصور باللغة  العربية,يعمل على فهم آلية توليد تسميات توضيحية باللغة العربية مناسبة للصور تصف ماداخلها من خلال تطبيق نموذج يعمل عل  استخراج مزايا الصور وربطها بالنصوص باستخدام التعلم العميق والشبكات العصبونية الاصطناعية 
محمود شعار,2023_2024,متجر للأدوات المستعملة,هو متجر للأدوات المستعملة حيث يسهم في تسهيل عملية البحث والشراء حيث يتيح إمكانية إضافة تعليقات للأداة المعروضةويقوم بمشاركة تجربته كاملة مع المستخدمين الاخرين ويمكنه البحث حسب نوع الاداة راغب حصول عليها من خلال اتاحة مجموعة من تصنيفات الأدوات المتاحة والمعروضة على تطبيق
ديمة مفتي الشوافعة,2023_2024,منصة تكيفية للتدريب على ألعاب العقل, يهدف الى تقديم مجموعة متنوعة من العاب العقل بما في ذلك السودوكو ولغز الصور المقطعة والكلمات المفقودة والشطرنج  وتطوير خوارزميات تكيفية تضبط صعوبة اللعبة ديناميكيا بناء على اداء المستخدم وتوفير منتج بديل للافراد بما في ذلك الاطفال وكبار سن والشباب الباحثين عن تحفيز عقولهم بدلا من الاشتراك في انشطة سالبة مثل تصفح وسائل تواصل
زكريا مهروسة,2023_2024,دراسة وتصميم منصة تسوق الكتروني,يهدف الى بناء وتطوير موقع خاص بمتجر الكتروني يسمح للمستخدمين بالقيام بعمليات الشراء للمنتجات المتنوعة بالاضافة الى الخدمات التي تقدمها المتاجر بشكل الكتروني بالاضافة الى دعم دفع الالكتروني حيث تم من خلال هذا المشروع التعرف على دورة حياة تطوير نظم وتم بيان اهم المراحل التي تمر بها وتم اعتماد منهجية التطوير الشلالي في تطوير النظم حيث تم عرض تفاصيل كل  مرحلة على حدا انطلاقا من مرحلة التخطيط واقلاع المشروع حيث تم توضيح المتطلبات التقنية اللازمة لبناء نظام وتوضيح لغة الرمجة المستخدمة ونظام ادارة قواعد بيانات 
اياد هلالي,2023_2024,اتمتة مخبر تحاليل طبية ذكي,تطبيق ويب لأتمتة مخبر تحاليل طبية وتشخيص الامراض بمساعدة الذكاء الصنعي هو نظام يساهم في تحسين كفاءة وأتمتة عمليات ادخال بيانات التحاليل الطبية ومن خلال هذا نظام يمكن ادارة بيانات الاطباء والمرضى وتنظيم ادخال نتائج التحاليل الطبية وتوفير تقارير تحليلية دقيقة كما يساعد في تشخيص بعض الامراض حيث يقدم نظام ميزة تشخيص ثلاث امراض هي السكري وقصور الكلى والجلطة القلبية
سوسن اسجيع,2023_2024,بناءمنصة تدريبية للبرمجة مع توفير محرر اكواد بخاصبة الإكمال التلقائي للتعليمات لأجهزة الاندرويد,   يقدم المشروع محرر اكواد متقدم لاجهزة الاندرويد يهدف الى دعم المبرمجين في رحلتهم يتميز محرر بمجموعة من الخصائص وهي الإكمال التلقائي وتخزين الكود وجلي الكود والدرووس حيث يوفر هذا المشروع الى توفير بيئة متكاملة لمبرمجي c++على اجهزة الاندرويد مما يساعدهم على تعلم البرمجة بشكل ممتع وفعال
مريم قولي,2023_2024,موقع ويب للأعمال اليدوية(صنع بحب),متجر صنع بحب هو متجر الكتروني يؤمن الفرصة لأصحاب المشاريع الصغيرة والمواهب المميزة بعرض اشغالهم واعمالهم اليدوية في اطار تسوق الكتروني حديث وممتع حيث يؤمن منتجات فريدة وجذابة مما يسهم لتوفير فرص العمل لشريحة كبيرة من المجتمع
اياد هلالي,2023_2024,موقع حجز للسياحة العلاجبية التجميلية في سوريا,يهدف النظام الى جمع مكونات الرئيسية مثل العيادات التجميلية والفنادق وشركات النقل والمكاتب تحت مظلة واحدة مما يسهل على العملاء الوصول الى جميع الخدمات المطلوبة من مكان واحد ويسهم ايضا في تبسيط عملية البحث والحجز للعملاء وتوفير مصدر موثوق للمعلومات  وزيادة فرص التسويق وترويج للجهات المشاركةو تحسين تجربة العملاء وزيادة رضاهم
سوسن اسجيع_ يحيى فريد,2023_2024, تطوير وتنفيذ استراتيجية مناعية لحماية نظام رقمي,يهدف الى تقييم امن شركة معينة من خلال تنفيذ وتحليل هجوم سيبراني كما يسعى الى تطبيق حلول امنية فعالة لمواجهة اي هجمات سيبرانية مستقبلية والامتثال للسياسات والتوصيات العالمية المعتمدة في مجال الامن السيبراني
اياد هلالي,2023_2024,دليل الذكي لاختيار المحلات التجارية الأنسب في مدينة حلب, يقدم هذا مشروع تطوير وتحليل تطبيق التجارة الاكترونية المصمم لادارة المتاجر والعروض وتفاعلات المستخدمين بشكل فعال التطبيق يخدم نوعين نت المستخدمين المدير والمستخدم العادي يمكن لامدير ادارة الفئات والمتاجر والعروض ويمكن للمستخدمين العاديين التفاعل مع هذه الكيانات من خلال ميزات متعددة متابعة المتاجر وتفضيل العروض وتقييم المتاجر 
جميلة ابراهيم,2023_2024,تطبيق تعلم اللغة الانكليزية وتصحيح النطق للاطفال, اداة تعليمية موجهة للاطفال لتحسين مهاراتهك في اللغة الانكليزية بشكل ممتهو ا تطبيق الى تقديم تجربة تعلم مثيرة ومحفزة للاطفال الذين تتراوح اعمارهم بين 7 سنوات وفوق
مريم قولي,2023_2024, تطبيق صيدليتي,يهدف التطبيق لمساعدة المواطنين وتسهيل حصولهم على دواء في اسرع وقت حيث يؤمن تطبيق علاقة ربط بين صيدليات ومواطنين ويقدم تطبيق نسخة المواطن مميزات اهمها قراءة وصفة طبية والتعرف على نص المكتوب ويقدم ايضا ميزة بحث عن دواء في جميع صيدليات بأسرع وقت ودون تعب ويقدم ميزة عرض الصيدليات المناوبة من خلال الخريطة و
زكريا مهروسة,2023_2024,نظام لمراقبة حركة المركبات العامة,نظام متكامل لمتابعة مواقع المركبات العاامة وهو عبارة عن تطبيق ويب يهدف الى تحسين تجربة استخدام وسائل نقل العامة من خلال توفيرنظام يمكن المستخدمين من مراقبة مواقع الحافلات ويتضمن المشروع واجهات للمستخدمين العاديين لعرض مواقع الحافلات وتقييم السائقيين وتقديم شكوى بالاضافة الى لوحة ادارة للمسؤلين لادارة الحافلات والخطوك والسائقين 
ديمة مفتي الشوافعة,2023_2024,منصة الكترونية تستضيف مسابقات برمجية تنافسية,هي منصة تنافسية للتحكيم البرمجي قادرة على تنمية المهارات البرمجية ومهارات حل المشاكل بطريقة تنافسية بين مستخدمي المنصة وهي منصة رديفة لمسابقات البرمجة التنافسية العالمية مثل مسابقات IOI و ICPC يهدف لمساعدة مهندسي البرمجيات على تعزيز مهاراتهم وتوسيع معارفهم والاستعداد للمقابلات الفنية 
ديمة مفتي الشوافعة,2023_2024,الاستثمارات المالية الذكية,هو تخصيص اموال او اصول اخرى لشراء شيئ ثمين ذي قيمة متوقعة ان تنمو بمرور الوقت  حيث يهدف الى زيادة الثروة و الحفاظ على الشرائية والحصول عل دخل و تحقيق اهداف مالية محدودة
مريم قولي,2023_2024,الكشف عن امراض القلب من خلال القزحية باستخدام الشبكات العصبونية,يهدف هذا المشروع الى استكشاف مدى صحة علم القزحية كأداة لتشخيص امراض القلب عن طريق تحليل صور القزحية باستخدام تقنيات التعلم الآلي 
مريم قولي,2023_2024,تطبيق تقديم الخدمات,برنامج تقديم الخدمات هو مفهوم يتيح للأفراد والشركات عرض خدماتهم ومهاراتهم عبر هذا التطبيق يعتبر هذا النوع من البرامج فرصة رائعة للافراد لتقديم خدماتهم وكسب خبرات من خلال العمل الحر والتعامل مع عملاء من جميع انحاء العالم 
أحمد بليد,2023_2024,متجر ذكي لاقتراح اللابتوب المناسب,يهدف الى بناء وتطوير موقع خاص بمتجر الكتروني يمكن البائن من القيام بعمليات الشراء للابتوبات والاجهزة الذكية والخدمات التي تقدمها المتاجر الكترونيا المشروع يهدف الى توفير متجر الكتروني سهل الاستخدام وموثوق به يقدم مجموعة متنوعة من الاجهزة بأعلى مستوى من الجودة والخدمة للعملاء
محمد أيمن نعال,2023_2024,بناء شبكة عصبية باستخدام FPGA,تعد شرائح FPGA شرائح قابلة لاعادة البرمجة مما يتيح للمطورين تخصيص بنيتها لتناسب احتياجاتهم تقدم هذه الشرائح الاداء العالي و القابلية للتخصيص 
اياد هلالي,2023_2024,تصميم وتنفيذ مول افتراضي ثلاثي الابعاد مع مساعد ذكي,منصة تسوق افتراضية تتيح للمستخدمين تجربة تسوق واقعية من خلال تقنيات الواقع الافتراضي وتوفر لهم بيئة تسوق ثلاثية الابعاد واقعية وتفاعل تام مع المنتجات ونظام دفع الالي و مساعد ذكي يقدم المساعدة والتوجيه واعلانات وعروض واقتراح منتجات يتم شراءها مع منتجات اخرة
أحمد بليد,2023_2024,المندوب الكتروني(منظومة شراء طبية),هذا المشروع يأتي بفكرة مبتكرة لتسهيل عمليات شراء الادوية للمستخدمين للبحث عن ادوية التي يحتاجونها وشراءها بسهولة ويسر من خلال هذا التطبيق ستتمكن الصيدليات من معرفة الادوية المتوفرة بسهولة والتواصل مع الشركات
سوسن اسجيع,2023_2024,نظام البوابة الرقمية لخدمات الشرطة,يتناول المشروع تصميم وتطوير نظام متكامل يدعم عمليات مراكز الشرطة باستخدام التكنلوجيا المتقدمة يشمل هذا النظام تطبيقات لتحليل البيانات ونظم المعلومات الجغرافية وادوات تواصل فعالة مع المجتمع الهدف هو تحقيق استجابة اسرع واكثر فعالية للحوادث والجرائم وتحسين العلاقة بين الشرطة والمواطنين
جميلة ابراهيم,2023_2024,                                                                                 smart gym,يسعى هذا النظام الجديد الى تحسين عمليات النوادي الرياضية من خلال تطوير نظام يسهل مراقبة التمارين وحساب التكرارات ويقلل من حدوث الاصابات عن طريق توفير ملاحضات فورية ومفيدة للمتدربين بالاضافة الى تقديم ادارة كاملة للنادي وامكانية الاشراف والتحكم به عن بعد
محمود رحال,2024-2025,تطبيق للوصول الى المعلومات والخدمات الجامعية,"يستمد هذا المشروع أصالته من كونه ُمصمما خصيصا لتلبية احتياجات كلية الهندسة الكهربائية واإللكترونية بجامعة حلب، مع مراعاة طبيعة البيئة الجامعية المحلية والتحديات المرتبطة بالبنية التحتية الرقمية."
محمود رحال,2024-2025,التقييم الأكاديمي للطللاب,نظام رقمي حديث يهدف الى دعم البيئة التعليمية من خلال تقديم منصة متكاملة تسهل التواصل بين المركز التعليمي وطلابه
محمود رحال,2024-2025,تطبيق لتشخيص مرض اعتلال الشبكية السكري,"أداة ذكية تساعد الأطباءوالمستخدمين العاديين على  اكتشاف مرض اعتلال الشبكية السكري من صور العين ،بدقة عالية وسرعة ،مع تقديم توصيات علاجية مخصصة بناءً على التصنيف"
محمود رحال,2024-2025,منصة امتحانات اكاديمية أون لاين,أهداف المشروع:تطوير منصة  امتحانات الكترونية ذكية وتمكين المعلمين من انشاء  وتصحيح  الاختبارات اليا وإتاحة التسجيل المخصص حسب الدور(طالب أو معلم أومدير)وبناء بنك أسئلة منظم ومصنف
محمود رحال,2024-2025,سافر وكن جزءا من العالم,"تطوير منصة إلكترونية تتيح للمستخدم في البداية حجز تذكرة السفروبعد إتمام الحجز، يتم عرض مجموعة من الخيارات للفنادق المتوفرة في
تلك الوجهة، مع إمكانية الحجز المباشر وتقييم الفندق لاحقا وتقدم المنصة معلومات عن أبرز المطاعم والمعالم السياحية في المدينة المختارة، مما
يساعد المستخدم على التخطيط لتجربته بالكامل من مكان واحد"
محمدأيمن نعال,2024-2025,نظام الري الذكي,"في هذا المشروع نستعرض نظام ري ذكي للنباتات يتحسس رطوبة التربة باستخدام شريحة Module Dev 32ESP ي قوم بتحليل الظروف البيئية )رطوبة التربة ، درجة الحرارة ، وحالة الطقس ( والتحكم بعملية الري بشكل )تلقائي ، يدوي ، مجدول( ويتم اختيار حالة الري باستخدام واجهة ويب ."
محمدأيمن نعال,2024-2025,تطبيق دليل المساجد,"تطوير تطبيق موبايل يعمل على توفير دليل شامل لمساجد مدينة حلب,بحيث يمكن للمستخدمين الوصول بسهولة الى المعلومات المتعلقة بكل مسجد,بما في ذلك الموقع,أوقات الصلاة,الخدمات المتاحة ,والأحداث الدينية"
محمدأيمن نعال,2024-2025,نظام إدارة الحضور في القاعات االمتحانية باستخدام تقنيات الذكاء االصطناعي,"نظام إدارة الحضور في قاعات االمتحان باستخدام تقنية التعرف على الوجه، حيث يُعد هذا النظام من األنظمة الذكية الداعمة لرقمنة العملية التعليمية وتحسين إجراءات المراقبة واإلشراف داخل قاعات االمتحان"
محمدأيمن نعال,2024-2025,رعاية ونمو,"يهدف مشروع إلى تصميم وتطوير نظام متكامل لمراقبة األطفال حديثي الوالدة عن بعد، يعتمد على استخدام الكاميرات الذكية وتقنيات االتصال الحديثة إلرسال إشعارات فورية إلى األهل أو الطاقم الطبي في حال اكتشاف أي تغيرات تستدعي التدخل. باإلضافة إلى ذلك، يوفر النظام إمكانية تتبع نمو الطفل من خالل تسجيل البيانات األساسية مثل النوم، التغذية، والنشاط اليومي، مما يساعد األهل على فهم احتياجات طفلهم بشكل أفضل."
محمدأيمن نعال,2024-2025,حيواناتنا الأليفة وكل ما تحتاجه,"منصة متكاملة مخصصة لمحبي الحيوانات , تقدم خدمات متنوعة تشمل متجراً لبيع الحيوانات الأليفة , متجراً لمستلزماتها , دليلاً شاملاً للرعاية الصحية , وجمعية خيرية تدعم تبني الحيوانات المشردة وتنظم حملات للعناية بها , بالإضافة إلى ملجأ يوفر المـأوى والدعم للحيوانات المحتاجة."
زكريا مهروسة,2024-2025,تطبيق لرعاية الحيوانات الأليفة PET X,تطبيق X PET هو تطبيق يعمل على رعاية الحيوانات االأليفه بطريقه سلسه ومنظمه بحيث يساعد المستخدم على تنفيذ كافه مهام الحيوان األليف بطريقه سريعة ومترابطة
زكريا مهروسة,2024-2025,نظام ذكي لتسجيل دخول وخروج الموظفين للشركات العاملة عن بعد من خلال التعرف على الوجه,"كيفية تصميم وتنفيذ نظام تسجيل دخول يعتمد على التعرف على الوجه، مع التركيز على الجوانب التقنية مثل جمع البيانات، معالجة الصور، استخدام خوارزميات التعلم العميق، باإلضافة إلى التحديات التي قد تواجه هذا النظام وكيفية التعامل معها."
زكريا مهروسة,2024-2025,تشخيص مرض الزهايمر باستخدام التعلم العميق,"كيفية توظيف تقنيات التعلم العميق في تشخيص مرض الزهايمر، مع  استعراض أبرز الأساليب المعتمدة، مثل الشبكات العصبية التالفيفية(CNNs)، وأهمية قواعد البيانات الطبية في تدريب النماذج، بالا ضافة إلى مناقشة التحديات التي تواجه هذا المجال، والفرص المستقبلية لتطوير حلول تقنية دقيقة وفعّالة تُسهم في تحسين التشخيص والرعاية الصحية."
زكريا مهروسة,2024-2025,تحويل الصور النقطية الى متجهات شعاعية," تطبيق Enhancer and Converter SVGهو برنامج رسومي متكامل مبني بلغة Python باستخدام مكتبة Tkinter، ومصمم خصي ًصا لتحسين الصور (Enhancement )وتحويلها إلى ملفات SVG(صور متجهة شعاعية)، مع ميزات إضافية مثل إزالة الخلفية، واستخراج الطبقات، وإعداد الملفات للطباعة على الملابس أو أغراض أخرى."
محمود شعار,2024-2025,تطبيق تشخيص الأمراض الجلدية باستخدام تقنيات الذكاء الصنعي,يهدف هذا المشروع إلى استخدام التّكنولوجيا وتكريسها في خدمة البشريّة وذلك من خلال تبليغ الأشخاص مستخدميّ التّطبيق في احتماليّة إصابتهم بالمرض ويمكن للمريض استخدام الكاميرلتصوير المنطقة المصابة ومراسلة الطبيب مباشرة.
محمود شعار,2024-2025,تصميم وتنفيذ منصة حجز وإدارة رحلات جوية,"منصة ذكية لحجز وإدارة رحلات الطيران، تهدف إلى تسهيل تجربة السفر الجوي للمستخدمين من خلال حلول رقمية متقدمة تجمع بين السرعة، الدقة، والراحة. توفر المنصة للمستخدمين بيئة رقمية مرنة وسهلة االستخدام تُم ّكنهم من استكشاف الرحلات، الحجز، إدارة بياناتهم، والتواصل مع شركات الطيران بسهولة"
محمود شعار,2024-2025,مدونة سفر رقمية,"تم تصميم وتطوير منصة رقمية مبتكرة تهدف إلى تقديم تجربة سياحية متكاملة تدعم احتياجات السياح المحليين والدوليين، وتمكنهم من استكشاف وجهات سياحية مميزة بطريقة تفاعلية وسهلة. ترتكز المنصة على توفير أدوات رقمية فعّالة تساعد المستخدمين في التعرف على المناطق السياحية، حجز البرامج، ومشاركة تجاربهم الشخصية، مما يعزز من تفاعلهم ويثري تجربتهم السياحية"
سوسن اسجيع -محمود شعار,2024-2025,تطبيق ويب لادارة جميع التبرعات للعمليات الجراحية,تطو ير تطبيق ويب مبتكر يسهل عملية جمع التبرعات للعمليات الجراحية وتوزيعها بكفاءة وشفافية وربط المرضى المحتاجين بالمتبر عين الراغبين في تقديم المساعدة.
محمود ادلبي شعار,2024-2025,نظام للكشف عن الالتهاب الرئوي باستخدام تقنيات الذكاء الصنعي,"تصميم وتطوير تطبيق ذكي يعمل على تحليل صور الأشعة الصدرية (X-ray) باستخدام تقنيات الذكاء الاصطناعي، لتقديم تشخيص أولي يساعد المستخدمين (غير المتخصصين) في الكشف المبكر عن الإصابة بالالتهاب الرئوي."
محمود ادلبي شعار,2024-2025,تطبيقflatterلادارة المشاريع الصغيرة,"يوفر التطبيق جميع المزايا التي يحتاجها الشخص لادارة المشروع دون الحاجة الى تطبيقات أخرى,حيث انه يدمج بين مزايا تطبيقات التواصل الاجتماعي وتطبيقات المتاجر الالكترونية,لتكوين مجتمع متكامل من زبائن ومتاجر"
اياد هلالي -سوسن اسجيع,2024-2025,بناء منصة ذكية للتواصل بلغة الاشارةCoHand GPT,"قدم هذا المشروع منصة تفاعلية ذكية تهدف الى تمكين ذويي الاعاقة السمعية من التواصل المباشر مع النماذج اللغوية باستخدام لغة اإلشارة االامريكية (ASL)، دون الحاجة الى وسيط بشري. تبدأ عمليه المعالجة بالتقاط ايماءات اليد من الفيديو الا ني باستخدام تقنية MedaiPipe، وهي مكتبة متخصصة في تحليل اإلشارات البصرية تتيح استخراج معالم دقيقة لليدين والوجه والجسد في الزمن الحقيقي."
احمد بليد,2024-2025,تطبيق توصيل طلبات طعام شبيه بتطبيق طلباتي,يعتبر التطبيق منصة شاملة توفر  مجموعة من الخدمات الروتينية التي تلبي احتياجات المستخدم  في حياته اليومية من خلال اختيار الأطباق أو الوجبات بالإضافة للمشروبات التي يود ويرغب في تناولها خلال يومه
سوسن اسجيع-يحيى فريد,2024-2025,أنموذج أمن لشبكة WANمعرفة برمجيا,"تصميم وتنفيذ شبكة مؤسسية حديثة تعتمد على تقنيات SD-WANلربط فرع رئيسي بفروع ثانوية موزعة جغرافيا لاحد المؤسسات,مع وجود فرع تأمين مخصص للحماية والتوجيه الأمني"
سوسن اسجيع,2024-2025,المساعد الذكي في علم التشريح,بناء منصة رقمية تفاعلية ذكية على شكل موقع ويب يقدم خدمة تعليمية مخصصة لطلاب الطب في مخبر التشريح بجامعة حلب
سوسن اسجيع,2024-2025,إدارة وكيل بيع وتسويق المعدات الطبية,"يهدف المشروع إلى بناء نظام لوكيل بيع وتسويق المعدات الطبية، يشتمل النظام على تطوير تطبيق الكتروني متكامل يخدم المشافي والأطباء والمراكز الجراحية في مختلف المحافظات، وبناء موقع انترنت لادارة الوكلاء."
سوسن اسجيع,2024-2025,انشاء نظام محادثة الي لخدمة الجامعة بالدمج بين تقنيات معالجة اللغات الطبيعية وتعلم الالة,يهدف المشروع إلى تطوير نظام محادثة ذكي مخصص لمساعدة طالب قسم هندسة الحاسوب في كلية الهندسة الكهربائية وااللكترونية في جامعة حلب. يعتمد النظام على تقنيات التعلم االلي ومعالجة اللغات الطبيعية لفهم احتياجات الطالب واالجابة على استفساراتهم بشكل دقيق وفعال.
سوسن اسجيع,2024-2025,موقع  STEM التنموي لليافعين,"يهدف مشروع  STEM LAB إلى بناء منصة تعليمية تفاعلية تهدف إلى تعليم البرمجة للأطفال واليافعين بأسلوب شيّق وسلس، وذلك من خلال ثلاث مسارات أساسية : لغة البرمجةC++  و لغة البرمجةScratch  ومبادئ علم الروبوتيكس من خلال تعليم تركيب وبرمجة الروبوت   LEGO EV3."
جميلة إبراهيم,2024-2025,قراءة الوصفات الطبية المكتوبة بخط اليد باستخدام الذكاء الصنعي,هدف مشروع   تصميم وتطوير تطبيق ذكي يعتمد على تقنيات الذكاء االصطناعي والتعرف الضوئي على الأحرف لقراءة الوصفات الطبية المكتوبة بخط اليد وتحويلها إلى صيغة رقمية منظمة وواضحة.
جميلة إبراهيم,2024-2025,تصنيف المقالات حسب الفئة العمرية,"يقوم النظام المقترح بتحليل المقالات بفحص النصوص وتقييمها بناء على معايير محددة، مما يعزز الفعالية في تصفية المحتوى غير اللائق أو العنصري ويساعد هذا النظام في تحسين محتوى الإنترنت ويقوم بدور حيـوي في تصـفية المحتـوى الـذي قـد يكً ـون ضـارا أو غـير ملائـم للفئـات العمريـة الشابة(الأطفال)."
جميلة إبراهيم,2024-2025,مساعد ذكي للمكفوفين,"يهدف هذا المشروع إلى تطوير مساعد ذكي للمكفوفين يعتمد على تقنيات الرؤية الحاسوبية والذكاء االصطناعي، لتمكين المستخدم الكفيف من إدراك وفهم محيطه بشكل أفضل عبر كاميرا الهاتف المحمول"
جميلة إبراهيم,2024-2025,موقع لتعلم اللغة الفرنسية,موقع ويب لتعليم اللغة الفرنسية بطريقة أكاديمية ويعتمد على اختبارات تفاعلية يتضمن الموقع خمس كورسات أساسية لِّلغة هي االستماع والمحادثة والقواعد والصوتيات والقراءة بحيث يتضمن كل كورس مستويات ومحاور أساسية
جميلة إبراهيم,2024-2025,متجر لبيع قطع السيارات وتشخيص أعطالها باستخدام الذكاء الصنعي,"تطبيق أندرويد لتجارة قطع السيارات يستطيع الزبون عبره ان يتصفح المنتجات واضافتها الى سلة التسوق، ويمكنه رؤية المنتجات التي يقترحها عليه النظام باالعتماد على تقنيات الذكاء الصنعي وبما يتناسب مع سلوكه وخياراته. يستطيع الزبون ايضا تقييم المنتجات واضافتها الى المفضلة."
,,,
عثمان إسماعيل,2024-2025,أداة لبناء الشبكات العصبونية,"یھدف ھذا المشروع إلى تطویر أداة مرئیة تفاعلیة تتیح للمستخدمین بناء وتدریب الشبكات العصبیة العمیقة بسھولة، دون الحاجة إلى كتابة كود برمجي معقد حیث تدعم الأداة أنواعا مختلفة من الشبكات العصبیة مثل : 10 • شبكات العصبیة التلافیفیة (CNN ) • شبكات بیرسیبترون (Perceptron ) • شبكات العصبیة المتكررة (RNN )"
عثمان إسماعيل,2024-2025,روبوت ذكي قابل للحركة للتعرف على الأشخاص وتنبيه الأمان,"يتميز الروبوت بقدرته على محاكاة حركة العنكبوت، مما يمنحه مرونة عالية في التنقل ضمن بيئات متعددة وضيقة، مثل: المنازل، المكاتب، او حتى الأمااكن الخطرة. يتم تزويده بكاميرا مثبتة على هاتف محمول يعمل بتطبيق مطور، يتيح له تحليل الصو ر والتعرف على األشخاص باستخدام Flutter باستخدام Kit Ml Google وعند التعرف على وجه غير معروف، يقوم بتفعيل نظام تنبيه صوتي أو أرسال اشعار فوري للهاتف الذكي. ومن جهة أخرى، يدعم الروبوت استخدام االأوامر الصوتية من المستخدم من خلال التطبيق نفسه، مما يسهل التحكم به دون الحاجة لأدوات اضافية، وهو ما يساهم في تحسين تجربة االستخدام ورفع كفاءة النظام."
عثمان إسماعيل,2024-2025,تصميم وتنفيذ نظام إعادة تأهيل مفصل الكوع باستخدام طابعة ثلاثية الأبعاد,"فكرة المشروع تقوم على تصميم مفصل مساعد ذكي للكوع يُدار بواسطة محرك سيرفو ويتم التحكم فيه بطريقة مبتكرة باستخدام حساس خلية الوزن، يهدف المشروع إلى تمكين المستخدم من تحريك ذراعه بسهولة ودون مجهود كبير، من خلال قراءة التغيرات في الضغط الناتج عن نية الحركة، دون االاعتماد على تقنيات مكلفة مثل مستشعرات الاشارات العضلية"
